id,title,news_company,url,published_date
2761,"Notice To Oil Producers. Public Offer By Northridge ... - 43페이지","The Calgary Herald ","https://books.google.co.kr/books?id=v3dkAAAAIBAJ&pg=PA43&dq=crude+oil&article_id=6209,209920&hl=ko&sa=X&ved=2ahUKEwiV2aPjjJeFAxX4dPUHHWAcAN04oAEQ6wF6BAgKEAE",1986-01-02
2766,"Notice To Oil Producers. Public Offer By Northridge ... - 35페이지","The Calgary Herald ","https://books.google.co.kr/books?id=wHdkAAAAIBAJ&pg=PA35&dq=crude+oil&article_id=4309,794155&hl=ko&sa=X&ved=2ahUKEwiV2aPjjJeFAxX4dPUHHWAcAN04oAEQ6wF6BAgHEAE",1986-01-03
2686,"Upg Falco Canada Notice. Ta All Producers. - 8페이지","The Calgary Herald ","https://books.google.co.kr/books?id=wndkAAAAIBAJ&pg=PA8&dq=crude+oil&article_id=3754,1712617&hl=ko&sa=X&ved=2ahUKEwjjkfbRjJeFAxVzma8BHbgKAA44UBDrAXoECAgQAQ",1986-01-05
2663,"Upg Falco Canada. Ups Canada. Notice To Oil Producers. - 28페이지","The Calgary Herald ","https://books.google.co.kr/books?id=w3dkAAAAIBAJ&pg=PA28&dq=crude+oil&article_id=4882,2171280&hl=ko&sa=X&ved=2ahUKEwiQ4NXNjJeFAxWtdfUHHY71ApM4PBDrAXoECAYQAQ",1986-01-06
2662,"Upg Falco Canada Notice To Oil Producers. - 56페이지","The Calgary Herald ","https://books.google.co.kr/books?id=xHdkAAAAIBAJ&pg=PA56&dq=crude+oil&article_id=3585,2550123&hl=ko&sa=X&ved=2ahUKEwiQ4NXNjJeFAxWtdfUHHY71ApM4PBDrAXoECAcQAQ",1986-01-07
2664,"Upg Falco Canada Notice To Oil Producers. - 59페이지","The Calgary Herald ","https://books.google.co.kr/books?id=xXdkAAAAIBAJ&pg=PA59&dq=crude+oil&article_id=6292,3022749&hl=ko&sa=X&ved=2ahUKEwiQ4NXNjJeFAxWtdfUHHY71ApM4PBDrAXoECAwQAQ",1986-01-08
2767,"Notice To Oil Producers. Public Offer By Northridge ... - 30페이지","The Calgary Herald ","https://books.google.co.kr/books?id=x3dkAAAAIBAJ&pg=PA30&dq=crude+oil&article_id=6164,3855242&hl=ko&sa=X&ved=2ahUKEwiV2aPjjJeFAxX4dPUHHWAcAN04oAEQ6wF6BAgIEAE",1986-01-10
2612,"Using Microbes To Increase Recovery Of Oil. By Dr Chua Bing. ","New Straits Times ","https://books.google.co.kr/books?id=KgROAAAAIBAJ&pg=PA7&dq=crude+oil&article_id=5238,3439239&hl=ko&sa=X&ved=2ahUKEwjO4K3CjJeFAxWdm68BHQXGCpw4ChDrAXoECAkQAQ",1986-01-14
2616,"Speculation Follows Drop In Oil Prices. - 9페이지","Eugene Register-Guard ","https://books.google.co.kr/books?id=WbdjAAAAIBAJ&pg=PA9&dq=crude+oil&article_id=6034,4489953&hl=ko&sa=X&ved=2ahUKEwjO4K3CjJeFAxWdm68BHQXGCpw4ChDrAXoECAgQAQ",1986-01-21
2623,"Oil Price Decline Could Continue. By Kathleen Day. - 9페이지","The Vindicator ","https://books.google.co.kr/books?id=6J4_AAAAIBAJ&pg=PA9&dq=crude+oil&article_id=2485,1908452&hl=ko&sa=X&ved=2ahUKEwjR_MDEjJeFAxWrkq8BHToTCUY4FBDrAXoECAgQAQ",1986-01-21
