title,date
"Gas Prices Will Fall A Little, Experts Say But Don't Expect ... ",1987-03-01
"Gasoline Prices Should 90 Down... After Recent Rise, Experts ",1987-03-01
Gasoline Prices Headed Down. ,1987-03-02
Analysts Say Gasoline May Be Cheaper Soon ,1987-03-01
Gas Prices May Head Down. ,1987-03-02
Gasoline Prices Expected To Fall. ,1987-03-01
"Opec Support Price Unraveling, Could Hit Low Teens... You ",1987-02-26
Downward Trend Seen In Gas Prices. ,1987-03-01
Gasoline Prices May Take Dive. ,1987-03-01
Petroleum Industry Experiences Fallout. ,1987-02-23
To Regain Oil Dominance. ,1987-02-03
Gasoline Price Dip Linked To Surplus. ,1987-02-28
The New Alaskan Energy Frontier. ,1987-02-03
Opec Oil Agreement Is Under Strain ,1987-02-26
Gas Prices May Drop Due To Worldwide Oil Surplus. ,1987-03-01
"D2 Business Thursday-February 26, 1987. Opec Agreement May ",1987-02-26
Oil Prices May Continue Fall. ,1987-02-25
Petroleum Fallout ,1987-02-16
Petroleum Fallout. ,1987-02-06
We're Heading For Future Energy Crises'. ,1987-02-02
We're Heading For Future Energy Crises'. ,1987-02-01
Nation's Oil Output Will Continue To Fall Despite World Price. ,1987-02-26
Education And Oil Mix. ,1987-02-03
Robert Walters... Education And Oil Mix In Louisiana. ,1987-02-11
A Mixture Of Oil And Education ,1987-02-05
Wilson Urges Boycott Over Gas-Price Rise. ,1987-02-21
Opec May Need Output Cut To Maintain Price. ,1987-02-09
Energy Researchers Favor Bigger Petroleum Reserve. ,1987-03-02
Problems Threatening Opec's Oil Agreement. ,1987-02-26
Bearish Market Sends Oil Futures Prices Below $17 Us. ,1987-02-25
Commodities ,1987-02-25
Educ First Gush Of Alberta. ,1987-02-07
Us Oil Production Likely To Fall. ,1987-02-25
Texaco Head: Higher Prices In Future. ,1987-02-10
Wholesale Prices. Up 0.6 In January; Crude Oil Jumps. ,1987-02-13
Group Says $10 A Barrel Oil Tariff Would Cost Us. $100 ... ,1987-02-16
Kuwait Restores Fixed Crude Oil Prices To Stabilise Market. ,1987-02-03
